Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402,2,15pF,
"C10, C27",C_0402,2,4.7uF,
"C11, C12, C16, C24, C28, C5, C6, C7, C8, C9",C_0402,10,100nF,
"C13, C14",C_0402,2,2.2uF,
C15,C_0402,1,1uF,
"C23, C25",C_0805,2,22uF,
C26,C_0402,1,10uF,
"C3, C4",C_0402,2,5.6pF,
D1,TJ-S4008SW4TGLCCW-A5,1,~,
D2,RB500VM-40TE-17,1,RB500VM,
J4,J_SWD,1,~,
J5,Header_1x02_2.54_TH_labels,1,~,
J6,HC-FPC-05-LT-10RLTAG,1,HC-FPC-05-LT-10RLTAG,
L1,L_0603,1,4.7uH,
"R10, R11, R12, R7, R8, R9",R_0402,6,47K,
R13,R_0402,1,200,
R2,R_0402,1,100K,
R4,R_0402,1,220K 1%,
R5,R_0402,1,18K 1%,
R6,R_0402,1,270K 1%,
U1,STM32H563VIT6,1,~,
U2,EA2208,1,EA2208T6R,
U3,TPS7B6933,1,TPS7B6933DBVR,
U4,Molex_uSD_Card_503398-1892,1,MOLEX-SDCARD-503398-1892,
Y2,NX2016SA-25MHZ-STD-CZS-2,1,NX2016SA-25MHZ-STD-CZS-2,
Y3,ABS25-32.768KHz,1,32.768KHZ,
